# Species	Genes	Alg.-Conn.	GCF_000007045.1	GCF_000014365.1	GCF_000018965.1	GCF_000018985.1	GCF_000019005.1	GCF_000019025.1	GCF_000019265.1	GCF_000019825.1	GCF_000019985.1	GCF_000196595.1
10	10	0.901	NP_358905.1	WP_000272302.1	WP_000272292.1	WP_000272304.1	WP_000272302.1	WP_000272311.1	WP_000272306.1	WP_000272304.1	WP_000272318.1	WP_000272311.1
10	10	0.909	NP_357683.1	WP_000273864.1	WP_000273863.1	WP_000273864.1	WP_000273863.1	WP_000273854.1	WP_000273864.1	WP_000273863.1	WP_000273862.1	WP_000273854.1
10	10	0.913	NP_358463.1	WP_000275156.1	WP_000275156.1	WP_000275156.1	WP_000275156.1	WP_000275156.1	WP_000275156.1	WP_000275157.1	WP_000275161.1	WP_000275156.1
10	10	0.776	NP_358067.1	WP_000276498.1	WP_000276509.1	WP_000276501.1	WP_000276498.1	WP_000276498.1	WP_000276498.1	WP_000276501.1	WP_000276498.1	WP_000276498.1
10	10	0.911	NP_358646.1	WP_000278532.1	WP_000278546.1	WP_000278527.1	WP_000278534.1	WP_000278544.1	WP_000278520.1	WP_000278524.1	WP_000278530.1	WP_000278538.1
9	9	0.917	NP_357748.1	WP_000278864.1	WP_000278877.1	WP_000278869.1	WP_000278864.1	WP_000278888.1	WP_000278869.1	WP_000278858.1	*	WP_000278890.1
10	10	0.905	NP_359583.1	WP_000280551.1	WP_000280533.1	WP_032495957.1	WP_000280548.1	WP_000280548.1	WP_041864713.1	WP_000280538.1	WP_000280540.1	WP_000280548.1
10	10	0.902	NP_358460.2	WP_000210707.1	WP_000210706.1	WP_000210704.1	WP_000210706.1	WP_000210695.1	WP_000210706.1	WP_000210706.1	WP_000210693.1	WP_000210693.1
10	10	0.903	NP_357879.1	WP_000203066.1	WP_000203064.1	WP_000203052.1	WP_000203063.1	WP_000203072.1	WP_000203063.1	WP_000203063.1	WP_000203067.1	WP_000203066.1
10	10	0.907	NP_357984.1	WP_000203654.1	WP_000203665.1	WP_000203651.1	WP_000203654.1	WP_000203654.1	WP_000203654.1	WP_000203654.1	WP_000203662.1	WP_000203654.1
8	8	0.954	*	WP_000204065.1	WP_000204069.1	*	WP_001846559.1	WP_000204068.1	WP_000204068.1	WP_000204068.1	WP_000204071.1	WP_000204068.1
10	10	0.903	NP_358693.1	WP_000204727.1	WP_000204725.1	WP_000204727.1	WP_000204727.1	WP_000204727.1	WP_000204727.1	WP_000204727.1	WP_000204727.1	WP_000204727.1
10	10	0.903	NP_357615.1	WP_000205044.1	WP_041170973.1	WP_000205044.1	WP_000205044.1	WP_000205044.1	WP_000205044.1	WP_000205044.1	WP_001813655.1	WP_000205044.1
7	7	0.69	*	WP_001812571.1	WP_041170954.1	WP_001815800.1	WP_000205160.1	*	WP_000205158.1	WP_000205169.1	WP_000205157.1	*
10	10	0.913	NP_357964.1	WP_000206761.1	WP_000206761.1	WP_000206761.1	WP_000206761.1	WP_000206761.1	WP_000206761.1	WP_000206761.1	WP_000206764.1	WP_000206761.1
10	10	0.904	NP_359274.1	WP_000209199.1	WP_000209199.1	WP_000209204.1	WP_000209206.1	WP_000209199.1	WP_000209199.1	WP_000209196.1	WP_000209198.1	WP_000209199.1
10	10	0.902	NP_357935.1	WP_000210629.1	WP_000210619.1	WP_000210617.1	WP_000210617.1	WP_000210628.1	WP_000210617.1	WP_000210631.1	WP_000210618.1	WP_000210618.1
10	10	0.907	NP_358223.1	WP_000202458.1	WP_000202453.1	WP_000202467.1	WP_000202459.1	WP_000202455.1	WP_000202454.1	WP_000202477.1	WP_000202464.1	WP_000202455.1
10	10	0.897	NP_359261.1	WP_000212522.1	WP_000212508.1	WP_000212522.1	WP_000212526.1	WP_000212512.1	WP_000212522.1	WP_000212505.1	WP_000212522.1	WP_000212522.1
10	10	0.886	NP_358709.1	WP_000216018.1	WP_000216007.1	WP_000216021.1	WP_000216009.1	WP_000237188.1	WP_000216017.1	WP_000216018.1	WP_000216026.1	WP_000237188.1
9	9	0.904	NP_358812.2	WP_000216382.1	WP_000216381.1	WP_000216377.1	WP_000216382.1	*	WP_000216375.1	WP_000216377.1	WP_000216382.1	WP_000216372.1
10	10	0.886	NP_357993.1	WP_000216436.1	WP_000216436.1	WP_000216436.1	WP_000216436.1	WP_000216436.1	WP_000216436.1	WP_000216566.1	WP_000216436.1	WP_000216436.1
10	10	0.89	NP_359416.1	WP_000216779.1	WP_001839767.1	WP_000216779.1	WP_000216769.1	WP_000216775.1	WP_000216774.1	WP_000216774.1	WP_000216776.1	WP_000216775.1
9	9	0.946	*	WP_000217306.1	WP_000217307.1	WP_000217305.1	WP_000217304.1	WP_000217307.1	WP_000217304.1	WP_000217307.1	WP_000217307.1	WP_000217307.1
10	10	0.904	NP_357997.1	WP_000218054.1	WP_000218054.1	WP_000218054.1	WP_000218054.1	WP_000218054.1	WP_000218063.1	WP_000218057.1	WP_000218061.1	WP_000218054.1
10	10	0.897	NP_358352.1	WP_000219013.1	WP_000219018.1	WP_000219018.1	WP_000219018.1	WP_000219014.1	WP_000219014.1	WP_000219018.1	WP_000219018.1	WP_000219014.1
10	10	0.899	NP_359044.1	WP_000199207.1	WP_000199188.1	WP_000199207.1	WP_000199202.1	WP_000199197.1	WP_000199207.1	WP_000199206.1	WP_000199207.1	WP_000199197.1
10	10	0.898	NP_358236.1	WP_000191793.1	WP_000191798.1	WP_000191798.1	WP_000191798.1	WP_000191798.1	WP_000191798.1	WP_000191795.1	WP_000191795.1	WP_000191798.1
10	10	0.89	NP_359260.1	WP_000191983.1	WP_000191978.1	WP_000046996.1	WP_000191967.1	WP_000191971.1	WP_000047000.1	WP_000191980.1	WP_000047000.1	WP_000046998.1
10	10	0.899	NP_358323.1	WP_000192079.1	WP_000192099.1	WP_000192081.1	WP_000192078.1	WP_000192078.1	WP_000192078.1	WP_000192078.1	WP_000192078.1	WP_000192081.1
10	10	0.831	NP_357717.1	WP_000193624.1	WP_000193626.1	WP_000193611.1	WP_000193606.1	WP_000193634.1	WP_000193609.1	WP_000193608.1	WP_000193615.1	WP_000193634.1
10	10	0.904	NP_358366.1	WP_000196409.1	WP_000196416.1	WP_000196409.1	WP_000196408.1	WP_000196409.1	WP_000196416.1	WP_000196416.1	WP_000196414.1	WP_000196409.1
10	10	0.903	NP_357653.1	WP_000196553.1	WP_000196553.1	WP_000196550.1	WP_000196572.1	WP_000196572.1	WP_000196553.1	WP_000196581.1	WP_000196588.1	WP_000196572.1
6	6	0.954	*	*	WP_000196970.1	*	*	WP_000196972.1	WP_000196978.1	WP_000196977.1	WP_000619581.1	WP_000619581.1
10	10	0.863	NP_357682.1	WP_000198679.1	WP_000198692.1	WP_000198694.1	WP_000198692.1	WP_000198675.1	WP_000198697.1	WP_000198681.1	WP_000198680.1	WP_000198675.1
10	10	0.875	NP_359409.1	WP_000219348.1	WP_000219356.1	WP_001055976.1	WP_000219356.1	WP_000219356.1	WP_000219353.1	WP_000219356.1	WP_000219347.1	WP_000219356.1
10	10	0.9	NP_359084.1	WP_000199272.1	WP_000199258.1	WP_000199281.1	WP_000199265.1	WP_000199274.1	WP_000199265.1	WP_000199271.1	WP_000199277.1	WP_000199277.1
10	10	0.903	NP_358622.1	WP_000199377.1	WP_000199370.1	WP_000199381.1	WP_000199369.1	WP_000199371.1	WP_000199371.1	WP_000199390.1	WP_000199383.1	WP_000199371.1
10	10	0.904	NP_358774.1	WP_000199534.1	WP_000199560.1	WP_000199560.1	WP_000199558.1	WP_000199574.1	WP_000199549.1	WP_000199560.1	WP_000199540.1	WP_000199567.1
10	10	0.886	NP_357687.1	WP_000200897.1	WP_000200891.1	WP_000200890.1	WP_000200890.1	WP_000200898.1	WP_000200894.1	WP_000200892.1	WP_000200892.1	WP_000200898.1
10	10	0.9	NP_358638.1	WP_000201141.1	WP_000201145.1	WP_000201099.1	WP_000201135.1	WP_000201121.1	WP_000201131.1	WP_000201133.1	WP_000201133.1	WP_000201121.1
10	10	0.911	NP_358637.1	WP_000201314.1	WP_000201315.1	WP_000201315.1	WP_000201315.1	WP_000201286.1	WP_000201320.1	WP_000201317.1	WP_000201300.1	WP_000201286.1
10	10	0.903	NP_358573.1	WP_000201898.1	WP_000201898.1	WP_000201898.1	WP_000201898.1	WP_000201898.1	WP_000201898.1	WP_000201899.1	WP_000201898.1	WP_000201898.1
10	10	0.905	NP_359494.1	WP_000202229.1	WP_000202235.1	WP_000202235.1	WP_000202225.1	WP_000202235.1	WP_000202235.1	WP_000202225.1	WP_000202225.1	WP_000202235.1
7	7	0.913	*	WP_000239022.1	WP_000239032.1	WP_000239022.1	WP_000239024.1	*	WP_000239025.1	WP_000239030.1	WP_000239024.1	*
10	10	0.495	NP_359213.1	WP_000230210.1	WP_000230210.1	WP_000230202.1	WP_000230210.1	WP_000230204.1	WP_000230210.1	WP_000230211.1	WP_000230207.1	WP_000230204.1
10	10	0.9	NP_357742.1	WP_000465975.1	WP_000231785.1	WP_000231826.1	WP_000465974.1	WP_000231785.1	WP_000231787.1	WP_000231786.1	WP_000231811.1	WP_000231785.1
10	10	0.914	NP_359136.1	WP_000232212.1	WP_000232209.1	WP_000232209.1	WP_000232209.1	WP_000232209.1	WP_000232179.1	WP_000232209.1	WP_000230664.1	WP_000232209.1
10	10	0.777	NP_358408.1	WP_000234605.1	WP_000234608.1	WP_000234600.1	WP_049753971.1	WP_046782576.1	WP_049477275.1	WP_000234618.1	WP_000234623.1	WP_046782576.1
10	10	0.895	NP_358537.1	WP_000234985.1	WP_000234983.1	WP_000234989.1	WP_000234983.1	WP_000234988.1	WP_000234983.1	WP_000234983.1	WP_000234983.1	WP_000234988.1
10	10	0.88	NP_358765.1	WP_000237398.1	WP_000237412.1	WP_000237416.1	WP_000237418.1	WP_000237416.1	WP_000237416.1	WP_000237416.1	WP_000237416.1	WP_000237416.1
10	10	0.902	NP_359126.1	WP_000237985.1	WP_000237985.1	WP_000237988.1	WP_000237988.1	WP_000237988.1	WP_000237988.1	WP_000237985.1	WP_000237988.1	WP_000237989.1
10	10	0.898	NP_357824.1	WP_000238716.1	WP_000238716.1	WP_000238716.1	WP_000238716.1	WP_000238721.1	WP_000238716.1	WP_000238716.1	WP_000238716.1	WP_000238721.1
10	10	0.901	NP_359273.1	WP_000840136.1	WP_000230149.1	WP_000840136.1	WP_000840136.1	WP_000230149.1	WP_000840137.1	WP_000230147.1	WP_000840136.1	WP_000230149.1
10	10	0.9	NP_359351.1	WP_000239282.1	WP_000239282.1	WP_000239282.1	WP_000239282.1	WP_000239278.1	WP_000239278.1	WP_000239278.1	WP_000239278.1	WP_000239278.1
10	10	0.786	NP_358271.1	WP_000163109.1	WP_000976706.1	WP_000976718.1	WP_000976715.1	WP_000976707.1	WP_000976706.1	WP_000239643.1	WP_000976709.1	WP_000976707.1
10	10	0.905	NP_359092.1	WP_000240129.1	WP_000240129.1	WP_000240129.1	WP_000240132.1	WP_000240132.1	WP_000240129.1	WP_000240129.1	WP_000240132.1	WP_000240132.1
9	9	0.94	*	WP_000240828.1	WP_000240827.1	WP_000240828.1	WP_000240822.1	WP_000240828.1	WP_000240822.1	WP_000240825.1	WP_000240828.1	WP_000240828.1
10	10	0.903	NP_358227.1	WP_000241371.1	WP_000241371.1	WP_000241371.1	WP_000241375.1	WP_000241380.1	WP_000241371.1	WP_000241371.1	WP_000241364.1	WP_000241380.1
10	10	0.899	NP_358307.1	WP_000241398.1	WP_000241398.1	WP_000241398.1	WP_000241397.1	WP_000241397.1	WP_000241398.1	WP_000241399.1	WP_000241398.1	WP_000241397.1
10	10	0.893	NP_359440.1	WP_000241469.1	WP_000241469.1	WP_000241469.1	WP_000241469.1	WP_000241465.1	WP_000241469.1	WP_000241469.1	WP_000241469.1	WP_000241465.1
10	10	0.902	NP_357813.1	WP_000241540.1	WP_000241554.1	WP_000241532.1	WP_000241536.1	WP_000241540.1	WP_000241540.1	WP_000241540.1	WP_000241536.1	WP_000241540.1
10	10	0.9	NP_358172.1	WP_000222616.1	WP_000222616.1	WP_000222616.1	WP_000222616.1	WP_000222617.1	WP_000222616.1	WP_000222616.1	WP_000222616.1	WP_000222631.1
10	10	0.9	NP_358756.1	WP_000219823.1	WP_000219847.1	WP_000219823.1	WP_000219823.1	WP_000219847.1	WP_000219823.1	WP_000219847.1	WP_000219823.1	WP_000219847.1
10	10	0.904	NP_358246.1	WP_000219939.1	WP_000219939.1	WP_000219939.1	WP_000219939.1	WP_000219939.1	WP_000219939.1	WP_000219939.1	WP_000219938.1	WP_000219939.1
10	10	0.901	NP_357641.1	WP_000220650.1	WP_000220633.1	WP_000220648.1	WP_000220665.1	WP_000220633.1	WP_000220651.1	WP_000220612.1	WP_000220633.1	WP_000220632.1
10	10	0.899	NP_357660.1	WP_000220694.1	WP_000220711.1	WP_000220716.1	WP_000220715.1	WP_000220716.1	WP_000220709.1	WP_000220734.1	WP_000220723.1	WP_000220716.1
10	10	0.903	NP_357718.1	WP_000639151.1	WP_000220956.1	WP_000220953.1	WP_000220964.1	WP_000220964.1	WP_000639152.1	WP_000220953.1	WP_000220940.1	WP_000220964.1
10	10	0.691	NP_359026.1	WP_000221615.1	WP_000221613.1	WP_000221614.1	WP_000221583.1	WP_000221598.1	WP_000221611.1	WP_000221612.1	WP_000221614.1	WP_000221584.1
10	10	0.9	NP_359192.1	WP_000221627.1	WP_000221627.1	WP_000221627.1	WP_000221627.1	WP_000221627.1	WP_000221627.1	WP_000221627.1	WP_000221627.1	WP_000221627.1
10	10	0.907	NP_358232.1	WP_000221739.1	WP_000221752.1	WP_000221749.1	WP_000221752.1	WP_000221747.1	WP_000221751.1	WP_000221753.1	WP_000221742.1	WP_000221746.1
9	9	0.927	*	WP_000291598.1	WP_000291598.1	WP_000291605.1	WP_000291603.1	WP_000291601.1	WP_000291598.1	WP_000291603.1	WP_000291597.1	WP_000291601.1
10	10	0.908	NP_359112.1	WP_000222983.1	WP_000222983.1	WP_000222983.1	WP_000222983.1	WP_000150273.1	WP_000222983.1	WP_000222983.1	WP_000222979.1	WP_000222979.1
10	10	0.904	NP_358572.1	WP_000227913.1	WP_000227907.1	WP_000227905.1	WP_000227861.1	WP_000227908.1	WP_000227864.1	WP_000227902.1	WP_000227905.1	WP_000227891.1
10	10	0.899	NP_359368.1	WP_000228756.1	WP_000228766.1	WP_000228766.1	WP_000228775.1	WP_000228766.1	WP_000228766.1	WP_000228774.1	WP_000228766.1	WP_000228766.1
10	10	0.751	NP_358044.1	WP_000229101.1	WP_000229107.1	WP_000229084.1	WP_000856786.1	WP_000229085.1	WP_000229096.1	WP_000229096.1	WP_000229091.1	WP_000229085.1
6	6	0.967	*	*	WP_000229332.1	WP_000229339.1	WP_000229332.1	*	WP_000229331.1	WP_000229332.1	WP_000229328.1	*
10	10	0.909	NP_357840.1	WP_000229772.1	WP_000229768.1	WP_000229772.1	WP_000229766.1	WP_000229764.1	WP_000229756.1	WP_000229772.1	WP_000229754.1	WP_000229772.1
10	10	0.887	NP_359023.1	WP_000229876.1	WP_000229874.1	WP_000229855.1	WP_000229877.1	WP_000229861.1	WP_000229874.1	WP_000229874.1	WP_000229856.1	WP_000229868.1
10	10	0.9	NP_359030.1	WP_000229959.1	WP_000229959.1	WP_000229959.1	WP_000229959.1	WP_000229950.1	WP_000229959.1	WP_000229964.1	WP_000229959.1	WP_000229959.1
10	10	0.915	NP_358965.1	WP_000405290.1	WP_000405290.1	WP_000405297.1	WP_000405296.1	WP_000405268.1	WP_000405297.1	WP_000405287.1	WP_000405267.1	WP_000405268.1
10	10	0.902	NP_358769.1	WP_000401770.1	WP_000401770.1	WP_000401779.1	WP_000401777.1	WP_000401770.1	WP_000401775.1	WP_000401772.1	WP_000401770.1	WP_000401770.1
4	4	0.944	*	*	*	*	WP_000401896.1	*	WP_000401897.1	WP_000401893.1	WP_000401903.1	*
10	10	0.901	NP_358760.1	WP_000402071.1	WP_000402066.1	WP_000402071.1	WP_000402071.1	WP_000402071.1	WP_000402071.1	WP_000402067.1	WP_000402071.1	WP_000402071.1
10	10	0.897	NP_357823.1	WP_000425250.1	WP_000402908.1	WP_000402908.1	WP_000402908.1	WP_000402908.1	WP_000402908.1	WP_000402908.1	WP_000402908.1	WP_000402908.1
10	10	0.9	NP_358023.1	WP_000403169.1	WP_000403170.1	WP_000403162.1	WP_000403162.1	WP_000403169.1	WP_000403171.1	WP_000403170.1	WP_000403162.1	WP_000403169.1
10	10	0.898	NP_358424.1	WP_000403198.1	WP_000403189.1	WP_000403199.1	WP_000403213.1	WP_000403195.1	WP_000403193.1	WP_000403193.1	WP_000403193.1	WP_000403195.1
10	10	0.855	NP_358296.1	WP_000403613.1	WP_000403611.1	WP_000403608.1	WP_000403345.1	WP_000403351.1	WP_000403337.1	WP_000403351.1	WP_000403347.1	WP_000403351.1
10	10	0.901	NP_359176.1	WP_000404940.1	WP_000404940.1	WP_000404940.1	WP_000404940.1	WP_000404930.1	WP_000404940.1	WP_000404944.1	WP_000404940.1	WP_000404930.1
10	10	0.898	NP_359346.1	WP_000405235.1	WP_000405234.1	WP_000405234.1	WP_000405240.1	WP_000405240.1	WP_000405234.1	WP_000405234.1	WP_000405234.1	WP_000405240.1
10	10	0.91	NP_358649.1	WP_000401328.1	WP_001809694.1	WP_000401326.1	WP_000401329.1	WP_000401326.1	WP_000401331.1	WP_000401328.1	WP_000401326.1	WP_000401326.1
10	10	0.9	NP_358911.1	WP_000405853.1	WP_000405832.1	WP_000405832.1	WP_000405821.1	WP_000405832.1	WP_000405859.1	WP_000405822.1	WP_000405821.1	WP_000405832.1
10	10	0.9	NP_357820.1	WP_000406170.1	WP_000406171.1	WP_000406170.1	WP_000406171.1	WP_000406169.1	WP_000406171.1	WP_000406171.1	WP_000406170.1	WP_000406171.1
10	10	0.907	NP_359170.1	WP_000406247.1	WP_000406248.1	WP_000406248.1	WP_000406247.1	WP_000406247.1	WP_000406245.1	WP_000406249.1	WP_000406251.1	WP_000406247.1
10	10	0.91	NP_359637.1	WP_000410378.1	WP_000410384.1	WP_000410383.1	WP_000410378.1	WP_000410376.1	WP_000410383.1	WP_000410378.1	WP_000410381.1	WP_000410376.1
8	8	0.915	*	WP_000410534.1	WP_000410533.1	WP_000410533.1	*	WP_000410535.1	WP_000410533.1	WP_000410535.1	WP_000410533.1	WP_000410535.1
10	10	0.914	NP_358740.1	WP_000411210.1	WP_000411199.1	WP_000411210.1	WP_000411229.1	WP_000411215.1	WP_000411204.1	WP_000411214.1	WP_000411218.1	WP_000411215.1
9	9	0.932	*	WP_000411436.1	WP_000411441.1	WP_000411441.1	WP_000411441.1	WP_000411441.1	WP_000411441.1	WP_000411441.1	WP_000411441.1	WP_000411441.1
10	10	0.902	NP_357995.1	WP_000411767.1	WP_000411763.1	WP_000411764.1	WP_000411763.1	WP_000411764.1	WP_000411765.1	WP_000411764.1	WP_000411768.1	WP_000411764.1
10	10	0.903	NP_358210.1	WP_000394080.1	WP_000394073.1	WP_000394069.1	WP_000394075.1	WP_000394075.1	WP_000394066.1	WP_000394072.1	WP_000394080.1	WP_000394075.1
10	10	0.9	NP_358984.1	WP_000390783.1	WP_000390784.1	WP_000390785.1	WP_000390784.1	WP_000390781.1	WP_000390784.1	WP_000390783.1	WP_000390784.1	WP_000390781.1
10	10	0.893	NP_359186.1	WP_000391202.1	WP_000391226.1	WP_000391218.1	WP_000391208.1	WP_000391209.1	WP_000391212.1	WP_000391210.1	WP_000391212.1	WP_000391209.1
7	7	0.902	NP_357950.1	WP_000391686.1	WP_000391691.1	WP_000391678.1	*	*	WP_000391668.1	WP_000391679.1	WP_000391688.1	*
10	10	0.903	NP_358639.1	WP_000392544.1	WP_000392542.1	WP_000392550.1	WP_000392544.1	WP_000392542.1	WP_000392538.1	WP_000392566.1	WP_000392545.1	WP_000392542.1
10	10	0.9	NP_358958.1	WP_000392851.1	WP_000392849.1	WP_000392851.1	WP_000392851.1	WP_000392851.1	WP_000392851.1	WP_000392848.1	WP_000392851.1	WP_000392851.1
10	10	0.908	NP_359168.1	WP_000392880.1	WP_000392880.1	WP_000392877.1	WP_000392881.1	WP_000392880.1	WP_000392879.1	WP_000392880.1	WP_000392878.1	WP_000392880.1
10	10	0.904	NP_358486.1	WP_000393823.1	WP_000393812.1	WP_000393823.1	WP_000393812.1	WP_000393812.1	WP_000393811.1	WP_000393812.1	WP_000393823.1	WP_000393812.1
10	10	0.896	NP_358068.1	WP_000394036.1	WP_000394040.1	WP_000394043.1	WP_000394048.1	WP_000394036.1	WP_000394045.1	WP_000394035.1	WP_000394045.1	WP_000394036.1
10	10	0.905	NP_358304.1	WP_000411867.1	WP_000411863.1	WP_000411854.1	WP_000411850.1	WP_000411851.1	WP_000411863.1	WP_000411868.1	WP_000411858.1	WP_000411851.1
10	10	0.901	NP_357827.1	WP_000395429.1	WP_000395434.1	WP_000395429.1	WP_000395432.1	WP_000395427.1	WP_000395432.1	WP_000395440.1	WP_000395431.1	WP_000395427.1
10	10	0.903	NP_359605.1	WP_000395739.1	WP_000395730.1	WP_000395747.1	WP_000395739.1	WP_000395746.1	WP_000395738.1	WP_000395739.1	WP_000395745.1	WP_000395746.1
9	9	0.948	*	WP_000395918.1	WP_000395959.1	WP_000395942.1	WP_000395927.1	WP_000395931.1	WP_000395920.1	WP_000395949.1	WP_000395918.1	WP_000395931.1
10	10	0.898	NP_358228.1	WP_000397212.1	WP_000397211.1	WP_000397211.1	WP_000397207.1	WP_000397219.1	WP_000397207.1	WP_000397211.1	WP_000397220.1	WP_000397219.1
9	9	0.914	NP_357969.1	WP_000400072.1	WP_000400073.1	WP_000400073.1	WP_000400073.1	WP_000400073.1	WP_000400073.1	WP_000400074.1	*	WP_000400073.1
4	4	0.962	*	*	*	WP_000400484.1	*	*	WP_000400484.1	WP_000400484.1	WP_000400484.1	*
10	10	0.91	NP_359145.1	WP_000400493.1	WP_000400493.1	WP_000400493.1	WP_000400493.1	WP_000400493.1	WP_000400494.1	WP_000400493.1	WP_000400493.1	WP_000400493.1
10	10	0.888	NP_359474.1	WP_000400702.1	WP_000400702.1	WP_000400702.1	WP_000400702.1	WP_000456157.1	WP_000400702.1	WP_000400704.1	WP_000400702.1	WP_000456157.1
5	5	0.965	*	*	*	*	WP_000436596.1	WP_000436587.1	WP_000436587.1	WP_000436587.1	*	WP_000436587.1
10	10	0.906	NP_358325.1	WP_000429299.1	WP_000429299.1	WP_000429260.1	WP_000429299.1	WP_000429299.1	WP_000429289.1	WP_000429299.1	WP_000429299.1	WP_000429299.1
9	9	0.931	*	WP_000429334.1	WP_000429334.1	WP_000429334.1	WP_000429334.1	WP_000429333.1	WP_000429334.1	WP_000429334.1	WP_000429334.1	WP_000429333.1
8	8	0.912	NP_358018.1	WP_000429432.1	WP_000429401.1	*	WP_000429426.1	WP_000429402.1	WP_000429423.1	WP_000429428.1	*	WP_000429402.1
10	10	0.903	NP_359430.1	WP_000429499.1	WP_000429499.1	WP_000429499.1	WP_000429499.1	WP_000429499.1	WP_000429499.1	WP_000429499.1	WP_000429499.1	WP_000429499.1
10	10	0.901	NP_358945.1	WP_000434650.1	WP_000434650.1	WP_000434649.1	WP_000434652.1	WP_000434649.1	WP_000434645.1	WP_000434650.1	WP_000434643.1	WP_000434649.1
10	10	0.893	NP_359524.1	WP_000434947.1	WP_000434964.1	WP_000434963.1	WP_000434962.1	WP_000434993.1	WP_000434966.1	WP_000434984.1	WP_000434963.1	WP_000434993.1
10	10	0.902	NP_358950.1	WP_000435455.1	WP_000435455.1	WP_000435452.1	WP_000435455.1	WP_000435455.1	WP_000435455.1	WP_000435455.1	WP_000435439.1	WP_000435455.1
10	10	0.896	NP_359198.1	WP_000435570.1	WP_000435563.1	WP_000435540.1	WP_000435538.1	WP_000435584.1	WP_000435570.1	WP_000435557.1	WP_000435570.1	WP_000435550.1
10	10	0.5	NP_358961.1	WP_000428147.1	WP_015898754.1	WP_000428147.1	WP_000428147.1	WP_000428147.1	WP_000428147.1	WP_000428147.1	WP_000428147.1	WP_000428147.1
10	10	0.897	NP_359367.1	WP_000438289.1	WP_000438284.1	WP_000438289.1	WP_000438290.1	WP_000438289.1	WP_000438289.1	WP_000438285.1	WP_000438289.1	WP_000438289.1
10	10	0.905	NP_359229.2	WP_000439615.1	WP_000439616.1	WP_000439602.1	WP_000439625.1	WP_000439604.1	WP_000439620.1	WP_000439624.1	WP_000439632.1	WP_000439604.1
10	10	0.9	NP_358490.1	WP_000440254.1	WP_000440254.1	WP_000440254.1	WP_000440256.1	WP_000440236.1	WP_000440254.1	WP_000440236.1	WP_000824916.1	WP_000440236.1
8	8	0.693	NP_358083.1	WP_000580659.1	WP_000580663.1	*	WP_000580663.1	WP_000580664.1	WP_000580663.1	WP_000440279.1	*	WP_000580664.1
10	10	0.905	NP_357792.1	WP_000440801.1	WP_000440801.1	WP_000440801.1	WP_000440801.1	WP_000440801.1	WP_000440801.1	WP_000440801.1	WP_000440801.1	WP_000440801.1
10	10	0.776	NP_359021.1	WP_000442275.1	WP_000442275.1	WP_000442257.1	WP_000442275.1	WP_000442260.1	WP_000442260.1	WP_000442275.1	WP_000442276.1	WP_000442260.1
10	10	0.9	NP_358320.1	WP_000443573.1	WP_000443573.1	WP_000443573.1	WP_000443573.1	WP_000443573.1	WP_000443573.1	WP_000443573.1	WP_000443573.1	WP_000443573.1
10	10	0.877	NP_358449.1	WP_000443899.1	WP_000443771.1	WP_000443744.1	WP_000443745.1	WP_000443774.1	WP_000443751.1	WP_000443751.1	WP_000443750.1	WP_000443775.1
6	6	0.868	NP_359201.1	WP_000418176.1	WP_000418160.1	*	WP_000418168.1	*	WP_000401989.1	WP_000418162.1	*	*
10	10	0.902	NP_359001.1	WP_000412220.1	WP_000412213.1	WP_000412220.1	WP_000412220.1	WP_000412220.1	WP_000412220.1	WP_000412220.1	WP_000412214.1	WP_000412220.1
10	10	0.907	NP_358575.1	WP_000412280.1	WP_000412279.1	WP_000412279.1	WP_001844715.1	WP_000412279.1	WP_012291610.1	WP_000412280.1	WP_000412280.1	WP_000412279.1
10	10	0.895	NP_357892.1	WP_000412456.1	WP_000412453.1	WP_000412453.1	WP_000412453.1	WP_000412458.1	WP_000412453.1	WP_000412453.1	WP_000412453.1	WP_000412457.1
10	10	0.895	NP_358474.1	WP_000413762.1	WP_000413754.1	WP_000413763.1	WP_000413758.1	WP_000413757.1	WP_000413763.1	WP_000413762.1	WP_000413763.1	WP_000413757.1
10	10	0.909	NP_359510.1	WP_000414968.1	WP_000414968.1	WP_000414968.1	WP_000414968.1	WP_000414968.1	WP_000414952.1	WP_000414968.1	WP_000414968.1	WP_000414968.1
10	10	0.902	NP_359493.1	WP_000415108.1	WP_000415103.1	WP_000415108.1	WP_000415116.1	WP_000415103.1	WP_000415102.1	WP_000415104.1	WP_000415100.1	WP_000415103.1
10	10	0.565	NP_358636.1	WP_000417171.1	WP_000417191.1	WP_000417163.1	WP_000417184.1	WP_000417189.1	WP_000417124.1	WP_000417135.1	WP_000417149.1	WP_000417189.1
10	10	0.908	NP_358682.1	WP_000417487.1	WP_000417465.1	WP_000417468.1	WP_000417464.1	WP_000417447.1	WP_000417467.1	WP_000417465.1	WP_000417489.1	WP_000417447.1
10	10	0.901	NP_359370.1	WP_000390046.1	WP_000390048.1	WP_000390048.1	WP_000390039.1	WP_000390039.1	WP_000390042.1	WP_000390044.1	WP_000390043.1	WP_000390039.1
10	10	0.901	NP_358031.2	WP_000418402.1	WP_000418402.1	WP_000418402.1	WP_000418402.1	WP_000418402.1	WP_000418402.1	WP_000418402.1	WP_000418402.1	WP_000418402.1
6	6	0.945	*	*	*	*	WP_000420682.1	WP_000420682.1	WP_000420682.1	WP_000420683.1	WP_000420682.1	WP_000420682.1
